Metro_area,Main_cities,Population,Violent_crime,Property_crime
NA,"Rate per 100,000 inhabitants",NA,301.3,1842.9
"Silver Spring-Frederick-Rockville, MD M.D.",NA,1293480,NA,NA
NA,Includes Frederick and Montgomery Counties,NA,NA,NA
NA,Total area actually reporting,1,2439,18777
NA,"Rate per 100,000 inhabitants",NA,188.6,1451.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV M.D.",NA,4858787,NA,NA
NA,"Includes District of Columbia; Calvert, Charles, and Prince George's Counties, MD; Arlington, Clarke, Culpeper, Fairfax, Fauquier, Loudoun, Prince William, Rappahannock, Spotsylvania, Stafford, and Warren Counties and Alexandria, Fairfax, Falls Church, Fredericksburg, Manassas, and Manassas Park Cities, VA; and Jefferson County, WV",NA,NA,NA
NA,Total area actually reporting,0.856,14055,81609
NA,Estimated total,1,16096,94604
NA,"Rate per 100,000 inhabitants",NA,331.3,1947.1
"Waterloo-Cedar Falls, IA M.S.A.",NA,170888,NA,NA
NA,"Includes Black Hawk, Bremer, and Grundy Counties",NA,NA,NA
NA,City of Waterloo,68470,507,2120
NA,City of Cedar Falls,41651,66,708
NA,Total area actually reporting,1,756,3386
NA,"Rate per 100,000 inhabitants",NA,442.4,1981.4
"Watertown-Fort Drum, NY M.S.A.",NA,117080,NA,NA
NA,Includes Jefferson County,NA,NA,NA
NA,City of Watertown,26765,181,1171
NA,Total area actually reporting,1,281,2079
NA,"Rate per 100,000 inhabitants",NA,240,1775.7
"Wausau, WI M.S.A.2",NA,136010,NA,NA
NA,Includes Marathon County,NA,NA,NA
NA,City of Wausau,39091,114,959
NA,Total area actually reporting,1,180,1787
NA,"Rate per 100,000 inhabitants",NA,132.3,1313.9
"Weirton-Steubenville, WV-OH M.S.A.",NA,119362,NA,NA
NA,"Includes Jefferson County, OH and Brooke and Hancock Counties, WV",NA,NA,NA
NA,"City of Weirton, WV",19067,22,209
NA,"City of Steubenville, OH",18137,60,1085
NA,Total area actually reporting,0.863,153,1691
NA,Estimated total,1,190,2150
NA,"Rate per 100,000 inhabitants",NA,159.2,1801.2
"Wenatchee, WA M.S.A.",NA,117637,NA,NA
NA,Includes Chelan and Douglas Counties,NA,NA,NA
NA,City of Wenatchee,33920,88,1128
NA,Total area actually reporting,1,169,2626
NA,"Rate per 100,000 inhabitants",NA,143.7,2232.3
"Wheeling, WV-OH M.S.A.",NA,142933,NA,NA
NA,"Includes Belmont County, OH and Marshall and Ohio Counties, WV",NA,NA,NA
NA,"City of Wheeling, WV",27486,266,669
NA,Total area actually reporting,0.9,475,1878
NA,Estimated total,1,500,2223
NA,"Rate per 100,000 inhabitants",NA,349.8,1555.3
"Wichita, KS M.S.A.7",NA,643764,NA,NA
NA,"Includes Butler, Harvey, Kingman, Sedgwick, and Sumner Counties",NA,NA,NA
NA,City of Wichita,391399,4136,21065
NA,Total area actually reporting,0.992,4553,NA
NA,Estimated total,1,4563,NA
NA,"Rate per 100,000 inhabitants",NA,708.8,NA
"Wichita Falls, TX M.S.A.",NA,150165,NA,NA
NA,"Includes Archer, Clay, and Wichita Counties",NA,NA,NA
NA,City of Wichita Falls,104685,445,3734
NA,Total area actually reporting,0.977,535,4493
NA,Estimated total,1,544,4576
NA,"Rate per 100,000 inhabitants",NA,362.3,3047.3
"Williamsport, PA M.S.A.",NA,115682,NA,NA
NA,Includes Lycoming County,NA,NA,NA
NA,City of Williamsport,29163,104,792
NA,Total area actually reporting,1,238,1752
NA,"Rate per 100,000 inhabitants",NA,205.7,1514.5
"Wilmington, NC M.S.A.",NA,282695,NA,NA
NA,Includes New Hanover and Pender Counties,NA,NA,NA
NA,City of Wilmington,117852,759,4771
NA,Total area actually reporting,0.991,1021,8270
NA,Estimated total,1,1028,8348
NA,"Rate per 100,000 inhabitants",NA,363.6,2953
"Winchester, VA-WV M.S.A.",NA,134144,NA,NA
NA,"Includes Frederick County and Winchester City, VA and Hampshire County, WV",NA,NA,NA
NA,"City of Winchester, VA",27363,61,776
NA,Total area actually reporting,0.997,185,1964
NA,Estimated total,1,186,1977
NA,"Rate per 100,000 inhabitants",NA,138.7,1473.8
"Worcester, MA-CT M.S.A.4",NA,861261,NA,NA
NA,"Includes Windham County, CT and Worcester County, MA",NA,NA,NA
NA,"City of Worcester, MA",184595,1642,5358
NA,Total area actually reporting,0.947,NA,13153
NA,Estimated total,1,NA,13782
NA,"Rate per 100,000 inhabitants",NA,NA,1600.2
"Yakima, WA M.S.A.",NA,250717,NA,NA
NA,Includes Yakima County,NA,NA,NA
NA,City of Yakima,94111,496,4943
NA,Total area actually reporting,1,751,9067
NA,"Rate per 100,000 inhabitants",NA,299.5,3616.4
"York-Hanover, PA M.S.A.",NA,443062,NA,NA
NA,Includes York County,NA,NA,NA
NA,City of York,44017,416,1408
NA,City of Hanover,15537,23,418
NA,Total area actually reporting,1,1039,7029
NA,"Rate per 100,000 inhabitants",NA,234.5,1586.5
"Yuba City, CA M.S.A.",NA,170558,NA,NA
NA,Includes Sutter and Yuba Counties,NA,NA,NA
NA,City of Yuba City,67198,272,2030
NA,Total area actually reporting,1,678,4635
NA,"Rate per 100,000 inhabitants",NA,397.5,2717.6
"Aguadilla-Isabela, Puerto Rico M.S.A.",NA,309696,NA,NA
NA,"Includes Aguada, Aguadilla, Anasco, Isabela, Lares, Moca, Rincon, San Sebastian, and Utuado Municipios",NA,NA,NA
NA,Total area actually reporting,1,424,2030
NA,"Rate per 100,000 inhabitants",NA,136.9,655.5
"Arecibo, Puerto Rico M.S.A.",NA,185250,NA,NA
NA,"Includes Arecibo, Camuy, Hatillo, and Quebradillas Municipios",NA,NA,NA
NA,Total area actually reporting,1,314,1633
NA,"Rate per 100,000 inhabitants",NA,169.5,881.5
"Guayama, Puerto Rico M.S.A.",NA,77771,NA,NA
NA,"Includes Arroyo, Guayama, and Patillas Municipios",NA,NA,NA
NA,Total area actually reporting,1,182,614
NA,"Rate per 100,000 inhabitants",NA,234,789.5
"Mayaguez, Puerto Rico M.S.A.",NA,94038,NA,NA
NA,Includes Hormigueros and Mayaguez Municipios,NA,NA,NA
NA,Total area actually reporting,1,248,1137
NA,"Rate per 100,000 inhabitants",NA,263.7,1209.1
"Ponce, Puerto Rico M.S.A.",NA,309512,NA,NA
NA,"Includes Guanica, Guyanilla, Juana Diaz, Penuelas, Ponce, Villalba, and Yauco Municipios",NA,NA,NA
NA,Total area actually reporting,1,785,2557
NA,"Rate per 100,000 inhabitants",NA,253.6,826.1
"San German, Puerto Rico M.S.A.",NA,128279,NA,NA
NA,"Includes Cabo Rojo, Lajas, Sabana Grande, and San German Municipios",NA,NA,NA
NA,Total area actually reporting,1,117,450
NA,"Rate per 100,000 inhabitants",NA,91.2,353.1
"San Juan-Carolina-Caguas, Puerto Rico M.S.A.",NA,2157729,NA,NA
NA,"Includes Aguas Buenas, Aibonito, Barceloneta, Barranquitas, Bayamon, Caguas, Canovanas, Carolina, Catano, Cayey, Ceiba, Ciales, Cidra, Comerio, Corozal, Dorado, Fajardo, Florida, Guaynabo, Gurabo, Humacao, Juncos, Las Piedras, Loiza, Luquillo, Manati, Maunabo, Morovis, Naguabo, Naranjito, Orocovis, Rio Grande, San Juan, San Lorenzo, Toa Alta, Toa Baja, Trujillo Alto, Vega Alta, Vega Baja, and Yabucoa Municipios",NA,NA,NA
NA,Total area actually reporting,1,5292,25686
NA,"Rate per 100,000 inhabitants",NA,245.3,1190.4
